site,date,life_stage,drag_dist,dist_start,stay_on
Foote,5/16/19,N,10,0,0
Foote,5/16/19,N,10,0,1
Foote,5/16/19,N,10,0,1
Foote,5/16/19,N,10,10,0
Foote,5/16/19,N,10,10,0
Foote,5/16/19,M,5,0,0
Foote,5/16/19,M,5,0,0
Foote,5/16/19,M,5,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,0
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,0,1
Foote,5/16/19,M,10,10,0
Foote,5/16/19,M,10,10,0
Foote,5/16/19,M,10,10,0
Foote,5/16/19,M,10,10,0
Foote,5/16/19,M,10,10,0
Foote,5/16/19,M,10,10,0
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,10,1
Foote,5/16/19,M,10,20,0
Foote,5/16/19,M,10,20,0
Foote,5/16/19,M,10,20,0
Foote,5/16/19,M,10,20,0
Foote,5/16/19,M,10,20,1
Foote,5/16/19,M,10,20,1
Foote,5/16/19,M,10,20,1
Foote,5/16/19,M,10,30,1
Foote,5/16/19,M,10,30,1
Foote,5/16/19,M,10,30,1
Foote,5/16/19,M,10,40,0
Foote,5/16/19,M,10,40,0
Foote,5/16/19,M,10,40,1
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,0
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,0,1
Foote,5/16/19,F,5,5,0
Foote,5/16/19,F,5,5,0
Foote,5/16/19,F,5,5,0
Foote,5/16/19,F,5,5,0
Foote,5/16/19,F,5,5,0
Foote,5/16/19,F,5,5,1
Foote,5/16/19,F,5,5,1
Foote,5/16/19,F,5,5,1
Foote,5/16/19,F,5,5,1
Foote,5/16/19,F,5,5,1
Foote,5/16/19,F,5,5,1
Foote,5/16/19,F,5,10,0
Foote,5/16/19,F,5,10,1
Foote,5/16/19,F,5,10,1
Foote,5/16/19,F,5,10,1
Foote,5/16/19,F,5,10,1
Foote,5/16/19,F,5,10,1
Foote,5/16/19,F,5,15,0
Foote,5/16/19,F,5,15,0
Foote,5/16/19,F,5,15,1
Foote,5/16/19,F,5,15,1
Foote,5/16/19,F,5,15,1
Foote,5/16/19,F,5,20,0
Foote,5/16/19,F,5,20,1
Foote,5/16/19,F,5,20,1
Foote,5/16/19,F,5,25,1
Foote,5/16/19,F,5,25,1
Foote,5/16/19,F,5,30,0
Foote,5/16/19,F,5,30,1
Foote,5/16/19,F,5,35,0
Foote,5/22/19,N,10,0,1
Foote,5/22/19,N,10,10,1
Foote,5/22/19,N,10,20,1
Foote,5/22/19,N,10,30,0
Foote,5/22/19,N,10,0,1
Foote,5/22/19,N,10,10,0
Foote,5/22/19,N,10,0,0
Foote,5/22/19,N,10,0,1
Foote,5/22/19,N,10,10,0
Foote,5/22/19,N,10,0,1
Foote,5/22/19,N,10,10,1
Foote,5/22/19,N,10,20,1
Foote,5/22/19,N,10,30,1
Foote,5/22/19,N,10,40,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,1
Foote,5/27/19,N,10,20,0
Foote,5/27/19,N,10,0,0
Foote,5/27/19,N,10,10,1
Foote,5/27/19,N,10,0,0
Foote,5/27/19,M,10,0,1
Foote,5/27/19,M,10,10,0
Foote,5/27/19,N,10,0,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,1
Foote,5/27/19,N,10,20,1
Foote,5/27/19,N,10,30,1
Foote,5/27/19,N,10,40,1
Foote,5/27/19,N,10,50,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,1
Foote,5/27/19,N,10,20,1
Foote,5/27/19,N,10,30,1
Foote,5/27/19,N,10,40,0
Foote,5/27/19,F,10,0,1
Foote,5/27/19,F,10,10,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,1
Foote,5/27/19,N,10,20,0
Foote,5/27/19,N,10,0,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,0
Foote,5/27/19,F,10,0,0
Foote,5/27/19,M,10,0,0
Foote,5/27/19,N,10,0,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,0
Foote,5/27/19,N,10,0,1
Foote,5/27/19,N,10,10,1
Foote,5/27/19,N,10,20,0
Foote,6/8/19,N,10,0,1
Foote,6/8/19,N,10,10,1
Foote,6/8/19,N,10,20,0
Foote,6/8/19,N,10,0,1
Foote,6/8/19,N,10,10,1
Foote,6/8/19,N,10,20,1
Foote,6/8/19,N,10,30,0
Foote,6/8/19,N,10,0,1
Foote,6/8/19,N,10,10,1
Foote,6/8/19,N,10,20,1
Foote,6/8/19,N,10,30,1
Foote,6/8/19,N,10,40,0
Foote,6/8/19,N,10,0,0
Foote,6/8/19,M,10,0,1
Foote,6/8/19,M,10,10,1
Foote,6/8/19,M,10,20,1
Foote,6/8/19,M,10,30,1
Foote,6/8/19,M,10,40,0
Foote,6/8/19,N,10,0,0
Foote,6/8/19,N,10,0,1
Foote,6/8/19,N,10,10,1
Foote,6/8/19,N,10,20,0
Foote,6/8/19,N,10,0,1
Foote,6/8/19,N,10,10,1
Foote,6/8/19,N,10,20,1
Foote,6/8/19,N,10,30,1
Foote,6/8/19,N,10,40,0
Foote,6/8/19,N,10,0,0
Foote,6/8/19,N,10,10,1
Foote,6/8/19,N,10,0,1
Foote,6/8/19,N,10,10,1
Foote,6/8/19,N,10,20,1
Foote,6/8/19,N,10,30,1
Foote,6/8/19,N,10,40,0